#TRACK_CODE,#RJ-CODE,#CV_IDS,#TAG_IDS,#SERIES_IDS,#ENG-NAME,#JAP-NAME,#THUMBNAIL,#IMAGES,#AUDIOS,#ADDITIONAL_URLS
19178,RJ276886,"1","1-2-3-4","1","Ripe Woman 12: Another Friend’s Mother","熟れた女12:友だちのお母さん 2人目","1->19178(0)","","2->19178t1",""
81031,RJ01054422,"40","69-19-1-81-32-6-9-27-83-20","","Azu-nyan wears 4 different outfits about her favorite senpai...I’m going to make her fall in love","わる～いオタサーの姫の媚びっ媚びなコスプレ誘惑エッチ【あずにゃんが4種のコスでだぁいすきな先輩のこと…メロメロにしちゃいます】","20->81031(0)","20->81031(1)","21->81031.mp3",""
71191,RJ421767,"9","32-12-7","","If you stick your dick in, you’ll fall immediately ♪ Cheeky tsundere junior ⇒ Fierce little fish Onaho ♪","【密着×おほ声】ちんぽ突っ込んだら即堕ち♪ 生意気ツンデレ後輩 ⇒ 激ちょろおほおほ雑魚オナホ♪【KU100】","20->71191(0)","20->71191(1)","21->71191.mp3",""
97305,RJ01037642,"9","88-19-6-36-67-9-27-20-12-13","","Being pursued by a gal who wants to improve her grades, I got hooked on the color scheme","成績を上げたいギャルにつきまとわれて まんまと色仕掛けにハマってしまった","20->97305(0)","20->97305(1)","21->97305.mp3",""
73684,RJ01009221,"6","5-19-32-6-9-27-83-20-12-13","","On a crowded train, I am reversely molested by a dirty little schoolgirl downer JK.","満員電車でジト目なドスケベダウナーJKに逆痴漢される","20->73684(0)","20->73684(1),20->73684(2)","21->73684.mp3",""
62673,RJ380210,"50","25-32-3-64-4-37-59","","Your Friend’s Mother Is Your Exclusive Sexual Desire Processing Maid","【下品アクメ】友達の母親はあなた専用おほイキ性欲処理ご奉仕メイド","20->62673(0)","20->62673(1)","21->62673.mp3",""
78957,RJ01045419,"50","1-3-4-37-33-59","","My Friend’s Mother Came Out At A Married Woman’s Customs, So With A Raw Fucking Full Piston Ohiki Continuous Fire Tribute Meat Toilet Drop","【下品アクメ】人妻風俗で友達の母親が出てきたから生ハメフルピストンでオホイキ連発お貢ぎ肉便器落ち","20->78957(0)","20->78957(1),20->78957(2),20->78957(3),20->78957(4)","21->78957.mp3",""
67990,RJ407284,"30","10-19-89-25-56-90-16","","A Childhood Friend And A Sweaty Slow SEX Life In The Countryside...♪","【密着ダウナーオホ声】むちむち爆乳ダウナー幼なじみと田舎でだらイチャ汗だくスローSEXライフ…♪","20->67990(0)","20->67990(1),20->67990(2)","21->67990.mp3,24->1.%E3%83%80%E3%83%A9%E3%83%80%E3%83%A9%E3%82%B2%E3%83%BC%E3%83%A0%E3%81%97%E3%81%AA%E3%81%8C%E3%82%89%E5%AF%9D%E3%83%90%E3%83%83%E3%82%AF%E3%82%BB%E3%83%83%E3%82%AF%E3%82%B9.m4a,25->2.%E3%81%8A%E9%A2%A8%E5%91%82%E3%81%A7%E3%82%A4%E3%83%81%E3%83%A3%E3%83%A9%E3%83%96%E6%B0%B4%E7%9D%80%E3%83%91%E3%82%A4%E3%82%BA%E3%83%AA.wav,25->3.%E5%AF%9D%E3%82%8B%E5%89%8D%E3%81%AE%E3%83%99%E3%83%AD%E3%83%81%E3%83%A5%E3%83%BC%E8%82%89%E5%B8%83%E5%9B%A3%E5%A4%AA%E3%82%82%E3%82%82%E3%82%B3%E3%82%AD%26%E3%81%AA%E3%81%97%E5%B4%A9%E3%81%97%E3%82%BB%E3%83%83%E3%82%AF%E3%82%B9.wav,25->4.%E9%81%8B%E5%8B%95%E3%81%97%E3%81%9F%E5%BE%8C%E3%81%AE%E5%8A%B4%E3%81%84%E6%B7%BB%E3%81%84%E5%AF%9D%E6%8E%88%E4%B9%B3%E6%89%8B%E3%82%B3%E3%82%AD.wav,25->5.%E6%98%BC%E9%96%93%E3%81%8B%E3%82%89%E5%AF%86%E7%9D%80%E6%B1%97%E3%81%A0%E3%81%8F%E9%A8%8E%E4%B9%97%E4%BD%8D%E9%BA%A6%E8%8C%B6SEX.wav",""
50816,RJ331318,"30","34-19-1-32-20","7","A story where a busty kouhai cheerleader serves a dirty dick ♪","巨乳後輩チアガールがチンカス汚ちんぽにご奉仕してくれるお話♪【KU100】","20->50816(0)","20->50816(1),20->50816(2),20->50816(3)","21->50816.mp3",""
75578,RJ01025271,"51","77-1-26-9-22-12-91","","Even if you pretend to be strong, you will fall into a big cock immediately!","【オホ声絶頂】強がってても巨根に即堕ち!生意気パパ活メスガキ⇒ちんぽ大好きちょろメス奴隷♪【KU100】","20->75578(0)","20->75578(1)","21->75578.mp3",""
48878,RJ326929,"2-3","1-67-9-20","","Drinking Gal Deli Customs ~ Tipsy Gal’s Seeding Copulation Echiechi Creampie Back Service! ~","呑みありギャルデリ風俗～ほろ酔いギャルの種付け交尾えちえち中出し裏サービス!～【フォーリーサウンド】","20->48878(0)","20->48878(1)","21->48878.mp3,21->48878%20_B.mp3",""
31826,RJ296230,"9","5-19-1-89-26-9","","Daily JK Sex ~ Creampies With Your Longtime Girlfriend ~","JK日常えっちライフ。～付き合って5年の幼馴染JKとの日常中出しえっち～【フォーリーサウンド】","20->31826(0)","20->31826(1)","21->31826t1.mp3,21->31826t2.mp3",""
46213,RJ321529,"30","19-32-6-27-44-20-58","","Onahole Sex Team","オナホセックス部【バイノーラル】","20->46213(0)","20->46213(1)","21->46213.mp3",""
79035,RJ01051681,"4","19-32-6-9-27-21","","Talking all the time when I rub my pussy","おまんこするときずっと喋ってる【バイノーラル】","20->79035(0)","20->79035(1)","21->79035.mp3,20->79035omake.mp3",""
75342,RJ01029389,"3","5-34-19-25-14-13","","Conceived Pussy Partner Doskebe Cool JK Chin Flattery Pussy Sex Activity","【一週間限定ドスケベイラスト付き】【全編オホ声】×【低音】孕ませおまんこパートナードスケベクールJKチン媚び媚びおまんこ性活【KU100】","20->75342(0)","20->75342(1),20->75342(2)","21->75342.mp3",""
97433,RJ01070736,"3","19-1-67-9-20-12","","Close contact with a gentle gal Pampered virgin graduation sex!","優しいギャルとの密着甘やかし童貞卒業えっち!【フォーリーサウンド】","20->97433(0)","20->97433(1)","21->97433.mp3",""
65047,RJ392237,"3","34-1-9-64-20","","“You’re Disgusting, Master” From Mouthy Maid to Craving Creampies!","「ご主人様キモイです」ウザガリ濡れメイド→ち〇ぽで堕ちて中出し希望!【フォーリーサウンド】","20->65047(0)","20->65047(1)","21->65047.mp3",""
79828,RJ01047181,"14","77-19-1-6-9-44-28","","Lewd Massage Service of Big Tits girl Menes","【5月13日までドスケベCG同梱】低音ダウナークール系爆乳メンエスお姉さんによるドスケベ孕ませご奉仕","20->79828(0)","20->79828(1),20->79828(2),20->79828(3)","21->79828.mp3",""
69272,RJ412274,"3","34-1-55-9-14","","Lewd Sex Services with JK Cheerleader","【9月26日まで限定イラスト付き】低音ダウナークール系チアJKによるドスケベご奉仕性交【オホ声】","20->69272(0)","20->69272(1),20->69272(2)","21->69272.mp3",""
96731,RJ01071646,"9-7","19-32-37-57","","Erotic Mess Instructor and Doskebe Lesson","オスレベルアッパー エロメスインストラクターとオスみを磨くドスケベレッスン♪","20->96731(0)","20->96731(1)","21->96731.mp3",""
70549,RJ414868,"9","5-66-37","","I was remodeled into an erotic demon and became a spear room, and I doted on pet breeding life at my house.","【期間限定割引/オホ声/今どきビッチ】転がり込んできた地雷女は勝手にガチ恋ドMオナホに〜エロ魔改造されてヤリ部屋になった俺ん家で溺愛ペット飼育生活〜【KU-100】","20->70549(0)","20->70549(1),4->70549-2.jpg","21->70549.mp3",""
68344,RJ407802,"30","19-25-6-27-33-21","","Sweet Masochist Dedicated Whispering Nipple Training","乳首責め風俗 甘マゾ専用囁き乳首調教","22->68344(0)","22->68344(1)","23->68344.mp3",""
77471,RJ01038914,"3","1-36-67-9-14-12-38","","Beach, JK-Gal girlfriend and copulation at a resort hotel","海とJK～ギャルな彼女とリゾートホテルでおほ声中出し孕ませ交尾～【フォーリーサウンド】","22->77471(0)","22->77471(1)","23->77471.mp3",""
71004,RJ427433,"8","1-49-32-6-37-58-12-54","","Dirty little schoolgirl hypnosis app complete training to vulgar masturbation JK","【オホ声】ドスケベ催眠アプリで毒舌クールJKを下品なオナホ彼女に完全調教","22->71004(0)","22->71004(1),22->71004(2)","23->71004.mp3",""
63721,RJ387306,"52","5-6-26-23-28-29","","Smell Specialization ~ Smell Fetish Succubus and Rich Copulation ~","ニオイ嗅ぎ特化～ニオイフェチサキュバスと濃厚オホ交尾～","22->63721(0)","22->63721(1),22->63721(2)","23->63721.mp3",""
67108,RJ403979,"52-53","19-1-53-9-7","","Even though I have a tsundere childhood friend, I was reversed NTR by a villain","ツンデレ幼馴染な彼女がいるのに、高嶺の花な悪女に逆NTRされちゃった話","22->67108(0)","22->67108(1)","23->67108.mp3",""
99218,RJ01076205,"6-3","19-32-6-75-77-9-60-12-41","12","Gamer Gradle Sisters and Echi Life","【全編ゆるオホ】ゲーマーグラドル姉妹とおこもりだらエチ生活【8月17日まで限定特典つき】","22->99218(0)","22->99218(1),17->99218-2.mp4","23->99218.mp3",""
99172,RJ01064944,"30","5-19-14-12-13-45","","Neat and clean student council president JK and vulgar child making sex","【オホ声】清楚な生徒会長JKと下品なオホ声子作りえっち","22->99172(0)","22->99172(1),22->99172(2),22->99172(3),22->99172(4)","23->99172.mp3",""
99284,RJ01085062,"8","48-1-32-26-26-9-29-92","25","Low tone brown succubus ♀’s limit ejaculation management","低音褐色サキュバス♀の限界焦らせ射精管理【#秒ヌキショート同人】","22->99284(0)","22->99284(1)","23->99284.mp3,22->99284omake.mp3",""
97357,RJ01065298,"38","5-1-6-9-27-37-20-12-13","14","Even though she’s a heroine of justice, she’s in heat!?","【中盤まで無料♪】正義のヒロインなのに発情中⁉︎〜耳元超絶密着とろとろ逆レイプASMR〜【 全編80分♪ / CV : MOMOKA。】","20->97357(0)","20->97357(1)","21->97357.mp3",""
75264,RJ01018217,"54","5-34-6-22-71-54","18","A Magical Girl’s Lovey-Dovey Service That Will Never Lose ～Your Semen Is Necessary To Protect This Earth!～","【KU100】絶対負けない魔法少女のイチャラブご奉仕 ～この地球を守るためにあなたの精液が必要なのです!～","22->75264(0)","22->75264(1)","23->75264.mp3,22->75264freetalk.mp3",""
75252,RJ01009404,"21-54","5-93-94-6-23-22-57-8","","Za~a ko♪ za~a ko♪ za~a ko♪ za~a ~ ko♪","【悪魔のメスガキ】×【天使のメスガキ】ざぁこ♪ざぁこ♪ざぁこ♪ざぁ～こ♪【CV.天知遥&恋羽もこ/KU100/ハーレムASMR】","22->75252(0)","22->75252(1)","23->75252.mp3",""
53311,RJ338641,"38-30","6-9-20-12-63","26","Oma*ko Gakuen Rinkai School “Don’t Skip Sex!” ~Cool Discipline Committee and Lovey-dovey Raw Fucking Special Practice~","【低音クール×正統派クール】おま○こ学園臨海学校「えっちサボりはダメですよ!」～クールな風紀委員とラブラブ生ハメ特別実習～【KU100/フォーリーサウンド】","22->53311(0)","22->53311(1),22->53311(2)","23->53311.mp3",""
98389,RJ01072089,"38-55-30","19-1-23-6-58-12-13","26","Oma*ko Gakuen Regular Exam “I won’t allow red marks on the test!” ～Supplementary raw sex lesson with three cool disciplinary committee members～","おま〇こ学園定期試験「テスト赤点許しません!」～クールな3人の風紀委員とみっちり生ハメ補習～【低音×ダウナー×正統派3種のクール!/KU100】","22->98389(0)","22->98389(1),22->98389(2)","23->98389t1.mp3,23->98389t2.mp3",""
102412,RJ01103315,"3","1-6-20-91","24","Seeding copulation by seriously impregnating a delivery man with a hypnosis app 3","★限定版【催眠調教】催眠アプリで配達員に本気孕ませ種付け交尾3","4->102412(0)","4->102412(1),4->102412(2)","17->102412.mp3",""
99248,RJ01080303,"3","5-1-6-27","","Reverse molestation by a JK at Netcafe","【★限定版】ダウナーJKにネカフェで逆痴漢される","4->99248(0)","4->99248(0),4->99248(1),4->99248(2)","17->99248.mp3",""
80550,RJ01011498,"56","34-19-6-95-37-50-38","","Absolutely no touching! My girlfriend is a princess!? ~I don’t want to get arrested, but my princess keeps asking me out, what should I do?~","【相愛オナサポ】絶対おさわり禁止令!俺の彼女はプリンセス!?～逮捕されたくないのにお姫様がめちゃくちゃ誘ってくるんだけど俺はどうすればいいですか～","4->80550(0)","4->80550(1),4->80550(2),4->80550(3),4->80550(4),4->80550(5),4->80550(6)","17->80550t1.mp3,4->80550omake.mp3",""
102406,RJ01103225,"2","5-9-44","","Dirty lewd sensitive samurai’s mat play service at home","【超リアルマットプレイフォーリー】ドスケベ淫乱敏感サムライのマットプレイご奉仕 at home","4->102406(0)","4->102406(1)","17->102406.mp3",""
101296,RJ01096867,"2","5-69-19-6-37-68-57-92","","A story about how when I hypnotized the head of a dignified dog tribe, she started wanting a dick like a spoiled baby.","【低音喘ぎ】凛々しい犬族の長に催眠をかけたら、甘えたがりな赤ちゃんのようにおちんぽを欲しがり始めちゃったお話","4->101296(0)","4->101296(1),4->101296(2),4->101296(3)","17->101296.mp3",""
102424,RJ01104924,"35","48-6-27-62-63-7","","Immediate sex ◆ Swimming club ~Secret creampie sex with the manager~","即ハメ◆水泳部～部長とこっそり中出しえっち～","4->102424(0)","4->102424(0),4->102424(1)","4->102424.mp3",""
56735,RJ356942,"12","93-94-22-29","","Separate and train the angel and devil female Gakiroli sisters","【オホ声信仰】天使と悪魔のメスガキロリ姉妹を分からせ調教","4->56735(0)","4->56735(1)","17->56735.mp3",""
102368,RJ01100097,"30","19-1-6-64-20","","Warm and sweet sex in the futon with a big breasts maid","【あまあま/耳舐め/KU100】爆乳メイドさんとお布団の中でぬくぬくあまあまえっち","4->102368(0)","4->102368(1)","17->102368.mp3",""
81777,RJ01060391,"30","5-34-19-1-6-9-37-14-86-92","27","Forcibly hypnotizes a clerical downer sister and flatters her true nature to serve her! ~A priest who falls for begging for creampie until she becomes pregnant~","【KU100】【密着低音オホ】事務的ダウナーなシスターに強制催眠をかけて本性モロバレ媚び媚びご奉仕! ～孕むまで中出し懇願で堕ちる聖職者～","4->81777(0)","4->81777(1)","17->81777t1.mp3,4->81777freetalk.mp3",""
101653,RJ01054418,"9-6-2-45-3","1-32-9-23-60","","Ninkatsu Idol General Election ~ Impregnated Pussy Project with a seriously love DSKB idol who loves you very much ~","にんかつアイドル総選挙〜あなたのことが大大大好きなガチ恋DSKBアイドルとの孕ませおま〇こプロジェクト～","4->101653-0.jpg","4->101653-1.jpg,4->101653-2.jpg,4->101653-3.jpg,4->101653-4.jpg,4->101653-5.jpg,4->101653-6.jpg,4->101653-7.jpg,4->101653-8.jpg,4->101653-9.jpg,4->101653-10.jpg,4->101653-11.jpg,4->101653-12.jpg","17->101653t1.mp3,17->101653t2.mp3,17->101653t3.mp3",""
59317,RJ372126,"3","6-83-44-57-21","","Wet masturbation ～ Treated like a princess, you become mushy and cum as if you’ve peed yourself～","お漏らしトロトロオナニー～お姫様扱いされたアナタはトロトロになりお漏らししたようにイク～","4->59317-1.jpg","4->59317-2.jpg","17->59317.mp3",""
67098,RJ403022,"9-3","93-19-1-94-6-83-21-44","","The Ruined Orgasm of Angels and Demons ~ Delivered to you by the strongest team ~","天使と悪魔のルインドオーガズム～最強タッグでお届けするあなたのための【台無し】無制限発射～","4->67098-0.jpg","4->67098-1.jpg,4->67098-2.jpg,4->67098-3.jpg","17->67098track1.mp3,4->67098freetalk.mp3",""
66292,RJ397359,"35","5-32-56-64-28","","~From now on, we will give sex education to the master~ Sex education that distorts the sexual habits of an office maid","【事務的・低音】～これよりご主人様への性教育を行います～事務的メイドの性癖歪ませ性教育【淫語・オホ声】","4->66292-0.jpg","4->66292-1.jpg","17->66292track1.mp3,4->66292omake.mp3",""
60511,RJ377038,"2","55-9-57-58-12-21","","Hip swinging masturbation","【オナニーゲーム】腰振りヘコヘコオナニー【なっさけなく射精する快感♪】","4->60511-0.jpg","4->60511-1.jpg","17->60511track1.mp3",""
103086,RJ01105472,"6","32-6-9-83-20-12-45","28","A downer big-breasted JK who I avoided because I thought she hated me suddenly asks me for it and is forced to have raw sex in heat and sweat every day.","【気だるげ汗だく性処理えっち】嫌われてると思い込んで避けてたダウナー巨乳JKから急に求められ発情汗だく生ハメ交尾を迫られまくる毎日へ","4->103086-0.jpg","4->103086-1.jpg,4->103086-2.jpg","17->103086track1.mp3,4->103086freetalk.mp3",""
103551,RJ01112527,"38-5","6-23-60-45","29","PlatonicAngels Brainwashing Project ~Encore!~","PlatonicAngels洗脳プロジェクト～アンコール!～","4->103551-0.jpg","4->103551-1.jpg,4->103551-2.jpg,4->103551-3.jpg,4->103551-4.jpg,4->103551-5.jpg","17->103551track1.mp3",""
79274,RJ435334,"21-44-30","1-6-9-60-45-20-42","29","PlatonicAngels Brainwashing Project - Reward Edition","PlatonicAngels洗脳プロジェクト ご褒美編≪KU100≫【『アンコール!』人気投票実施中★】","4->79274-0.jpg","4->79274-1.jpg,4->79274-2.jpg,4->79274-3.webp,4->79274-4.webp,4->79274-3.jpg,4->79274-4.jpg,4->79274-5.jpg,4->79274-6.jpg,4->79274-7.jpg,4->79274-8.jpg,4->79274-9.jpg,4->79274-10.jpg,4->79274-11.jpg,4->79274-12.jpg,4->79274-13.jpg","17->79274track1.mp3,17->79274omake.mp3",""
32254,RJ297479,"31","5-66-63","","Bitch Beach ~Sweet Seduction in a Micro-bikini~","ビッチビーチ 極上マイクロビキニ痴女の甘い誘惑","4->32254.jpg","4->32254.jpg","17->32254t1.mp3",""
60803,RJ375851,"23","19-25-26-4-79","","Mom burping milk smell, tapping on the back, breastfeeding, milking, chewing, drinking milk, burping, holding","ママゲップミルク臭 背中トントン 授乳 乳搾り 乳噛み 飲乳ゲップ 抱っこH","4->60803-0.jpg","4->60803-1.jpg","17->60803t1.mp3,17->60803BGM.mp3",""
103973,RJ01114777,"17-30","1-6-23-83-37-40","","Show off to other listeners that you are the No. 1 recipient of the highest amount of support! A story about ejaculating to the max with a sense of superiority in a public live broadcast using a penis.","高額支援額1位の貴方は他リスナーに見せつけ!お○んぽ使った公開生配信で優越感MAXなお射精をしまくる話","4->103973-0.jpg","4->103973-1.jpg,4->103973-2.jpg","17->103973t1.mp3,4->103973omake.mp3",""
31474,RJ293957,"57","5-19-1-89-96","","My sister’s love was so heavy that I couldn’t bear it","姊姊的愛對我而言無法承受 お姉ちゃん愛が重すぎて、僕が耐えられなかった件","4->31474-0.jpg","4->31474-0.jpg","17->31474t1.mp3",""
32507,RJ297588,"57","5-96-6-83-12-13","","Interview with underage female high school and junior high school students about sexual activity (Taiwan Chinese version)","未成年女高中生的性行為訪談(台灣中文版)","4->32507-0.jpg","4->32507-1.jpg","17->32507t1.mp3",""
57186,RJ360188,"2","1-36-9-29","","Creampie OK! Echiechi Freeloader Succubus","中出しOK!えちえち居候サキュバス【フォーリーサウンド】","4->57186-0.jpg","4->57186-1.jpg","17->57186t1.mp3",""
40338,RJ313972,"48","19-1-6-67-83","","Gal’s return","ギャルの恩返し","4->40338-0.jpg","4->40338-1.jpg","17->40338t1.mp3",""
39307,RJ312207,"9-3","1-36-9-23-20-97","9","Sex in the rain with two rain-wet shrine maidens","雨濡れ神巫女二人と雨宿りセックス【フォーリーサウンド】","4->39307-0.jpg","4->39307-1.jpg","17->39307t1.mp3",""
69030,RJ383911,"2","19-66-6-9-83-20-58-12-13","","Enko Gal JK Neat and Fall ~Mogami-chan wants to be loved~","円光ギャルJK清楚堕ち～最上ちゃんは愛されたい～","4->69030-0.jpg","4->69030-0.jpg,4->69030-1.webp,4->69030-2.webp","17->69030t1.mp3",""
104281,RJ01106956,"35","5-19-33-59-41-29","","A rich brush stroke lesson with a little devilish succubus sister ~ Inserting it all the way into the smooth pussy that goes well with it ~","小悪魔系サキュバスお姉さんと濃厚筆おろしおちんぽレッスン〜相性抜群とろとろおま○こにずっーと挿入〜","4->104281-0.jpg","4->104281-1.jpg,4->104281-2.webp","17->104281t1.mp3",""
77965,RJ01039611,"45","19-9-4-37-57","","Just for you. Service sex by a woman with a vulgar pussy.","【オホ声】あなた専用 お下品マンコ女によるご奉仕性活","4->77965-0.jpg","4->77965-1.jpg,4->77965-2.jpg,4->77965-3.webp","17->77965t1.mp3",""
52673,RJ334869,"6","5-98-19-1-49-6-67-9-83-99-12-13","","Today’s Designated Humper: Arisa Kawanami","【Live2Dアニメ動画付き】今日のパコパコ当番～今日の当番は河波ありさちゃん♪～【バイノーラル】","4->52673-0.jpg","4->52673-1.jpg,4->52673-2.jpg,4->52673-3.jpg,4->52673-4.jpg,4->52673-5.jpg,17->52673vd-re.mp4","17->52673t1.mp3",""
63827,RJ380971,"14","19-9-23-21","","Co-sleeping Whispering Handjob Club No Touch Whisper ~A sweet sex shop specializing in masturbation where touching is strictly prohibited~","添い寝囁き手淫倶楽部 ノータッチウィスパー ～おさわり厳禁オナニー専門あまあま嫐り風俗店～","4->63827-0.webp","4->63827-1.jpg,4->63827-2.webp,4->63827-3.webp","17->63827t1.mp3,17->63827omake.mp3,4->63827freetalk.mp3",""
36876,RJ308751,"10","19-25-44","","The Man-ruiner Salon","【催眠音声】ダメンズエステ ～脳までダメダメにしちゃうローションマッサージ～","4->36876-0.jpg","4->36876-1.jpg,4->36876-2.jpg","17->36876.mp3",""
99260,RJ01082042,"58","34-19-1-49-67-9-44-28-58-12","","Regular sex festival ”Extreme sex festival”! Classmate gal Sana’s soapland episode","定期性風俗フェス”極接祭”!同級生ギャル紗那ちゃんのソープでヌきまくり編","4->99260-0.jpg","4->99260-1.jpg","17->99260t1.mp3",""
103092,RJ01105701,"10","49-36-67-59-58-12-13","","When I got my dick bulged with off-paco back dirt, it became a gal’s toy.","【バイノーラル】オフパコ裏垢でチン凸したらギャルのおもちゃになりました。","4->103092-0.jpg","4->103092-1.jpg","17->103092t1.mp3",""
99487,RJ01066842,"59","5-19-1-89-6-9-83-58-12-35","8","Possessive Creampie Escort from your Popular Princely Childhood Friend","【KU100】学校で”王子様”として大人気の幼馴染が、俺にだけ独占欲丸出しのイケボで口説き中出しエスコートしてくる話","4->99487-0.jpg","4->99487-1.jpg","17->99487t1.mp3,4->99487freetalk.mp3",""
58721,RJ361679,"30","5-19-49-67-12-13-92","8","Selected as the Tan Gal’s Sex Toy ~I’ll Keep You Hard, So Let’s Fuck Lots~","【KU100】ドスケベ黒ギャルJKの性処理おもちゃに童貞くんが選ばれました! ～何度もちんぽ勃たせてあげるから、えっろぉ～いセックスしよっ♪～","4->58721-0.jpg","4->58721-1.jpg","17->58721t1.mp3,4->58721freetalk.mp3",""
38627,RJ303183,"30","1-49-32-67-9-12-13","8","Lusty Gal JK Snatches Your Virginity!","性欲が強すぎるギャルJKのドスケベ童貞筆おろし!【KU100/バイノーラル】","4->38627-0.jpg","4->38627-1.jpg","17->38627t1.mp3",""
41850,RJ310275,"3","5-19-6-12-13-54","8","Your Dick Specialist ~Rinka Karasawa the Practiced Tease~","【クーポン有】あなた専用おち●ぽ生ハメ係 ～先輩JK柄沢凛香はからかい上手ドスケベえっちが大好き～【KU100】","4->41850-0.jpg","4->41850-1.jpg","17->41850t1.mp3",""
97341,RJ01058408,"2","5-100-19-1-25-6-9-83-20-14-58","8","Lovey-dovey child-making sex with a sweet Ao Dai girl at school ~For the first time, I thought Japanese men were good♪~","【超密着】あまあまアオザイ女子と校内ご奉仕ラブラブ子作りエッチ ～初めては日本の男性がいいって思ってました♪～【KU100】","4->97341-0.jpg","4->97341-1.jpg","17->97341t1.mp3,4->97341freetalk.mp3",""
101885,RJ01081428,"60-45","5-34-32-6-43-23-83-37-54","27","Semen Squeezing Inquisition ~A cool and vulgar saint and a super lewd sister want to be seduced and squeezed until they wither~","【KU100】搾精審問～クール下品な聖女と超スケベなシスターは媚びて媚びて枯れるまで搾り取りたい～【堕ち部★LACKプレミアムシリーズ】","4->101885-0.jpg","4->101885-1.jpg","17->101885t1.mp3,4->101885freetalk.mp3",""
73932,RJ01005103,"61","5-34-19-82-6-95-83-59-43","27","Forced masturbation goddess ~ Creampie rape of the goddess until she is satisfied with revenge for being expelled ~","【KU100】強制オナホ女神 ～追放された復讐に満足するまで女神を中出しレイプ～","4->73932-0.jpg","4->73932-1.jpg","17->73932t1.mp3,4->73932freetalk.mp3",""
101628,RJ01099792,"62","19-6-95-83-59","","The 500 year old elf who raised me. Suddenly, she was in a heavy heat and approached me, bringing up her old promise.","僕を育ててくれた500歳エルフ。急にどちゃくそ重い発情期がきて昔の約束を持ち出して迫ってきた。","4->101628-0.jpg","4->101628-1.jpg","17->101628t1.mp3",""
104371,RJ01112678,"63","5-19-46-64-37-12-54-38","","A sweet and depraved sex life with a slutty girlfriend - from the first night on, she’s slutty, at school and in the park. Every day is filled with happiness as she also works as a maid","無自覚どすけべで陰キャな彼女とあまらぶへんたい交尾性活～初夜から淫乱、学校でも公園でもえっち。メイドさんご奉仕もしてくれる幸せいっぱいの日々。～【KU100】","4->104371-0.jpg","4->104371-1.jpg,4->104371-2.jpg,4->104371-3.jpg,4->104371-4.jpg,4->104371-5.jpg,4->104371-6.jpg,4->104371-7.jpg,4->104371-8.jpg","17->104371t1.mp3",""
96994,RJ01063815,"3","19-1-6-27-40-33","","Sex life in hospital with sweet exclusive nurse onee-san","えちえち専属ナースのお姉さんとあまあま搾精入院性活","4->96994-0.jpg","4->96994-1.jpg","17->96994t1.mp3,4->96994omake.mp3",""
100478,RJ01089088,"3","19-1-6-9-83-40-33","30","A story about how a naughty downer nurse manages ejaculation by licking her ear and counting down her ears ~","どすけべダウナーナースのお姉さんに耳舐めカウントダウンで射精管理されるお話 ～義務射精クリニック～","4->100478-0.jpg","4->100478-1.jpg","17->100478t1.mp3",""
101987,RJ01099064,"64","48-5-9-40","","Improve your constitution! Penis clinic","体質改善!おちんちん診療所(フォーリーサウンド)","4->101987-0.jpg","4->101987-1.jpg,4->101987-2.jpg,4->101987-3.jpg,4->101987-4.jpg,4->101987-5.jpg","17->101987t1.mp3,17->101987bgm.mp3",""
96655,RJ01063254,"65","19-1-82-37-40-59-45","","How to make a nurse who can only be satisfied with your dick","【完堕ち・寝取り】あなたのおちんぽじゃなきゃ満足できないナースの作り方","4->96655-0.jpg","4->96655-1.jpg","17->96655t1.mp3",""
81797,RJ01062585,"2","1-36-9-40-20-14-45","9","Office nurse’s forced ejaculation","事務的ナースの強制射精えっち【フォーリーサウンド】","4->81797-0.jpg","4->81797-1.jpg","17->81797t1.mp3",""
100162,RJ01082526,"66","19-1-49-40-20","","My former classmate nurse does all the erotic things she calls nursing.","元同級生ナースは看護と言ってエロいことぜぇ～んぶしてくれる","4->100162-0.jpg","4->100162-1.jpg,4->100162-2.jpg,4->100162-3.jpg,4->100162-4.jpg,4->100162-5.jpg,4->100162-6.jpg,4->100162-7.jpg,4->100162-8.jpg,4->100162-9.jpg,4->100162-10.jpg,4->100162-11.jpg,4->100162-12.jpg","17->100162t1.mp3",""
104179,RJ01053177,"58","48-34-19-36-9-23-40-33-59-29-21-45","","Little devil nurse ~ shota training ~ intense masochist squeezing","小悪魔ナース～ショタ調教～濃密マゾ搾り","4->104179-0.jpg","4->104179-10.jpg,4->104179-1.jpg,4->104179-2.jpg,4->104179-3.jpg,4->104179-4.jpg,4->104179-5.jpg,4->104179-6.jpg,4->104179-7.jpg,4->104179-8.jpg,4->104179-9.jpg,4->104179-11.jpg,4->104179-12.jpg","17->104179t1.mp3,4->104179ng.mp3,4->104179freetalk.mp3",""
104439,RJ01118324,"67","19-60-20-63-21","2","Big-breasted gravure idol’s tit-fuck massage - At a men’s beauty salon, the girl you love gives you oil-slick nipple torture and ejaculation in the breasts.","爆乳グラビアアイドルの寸止めパイズリマッサージ～メンズエステで、大好きなあの子からオイルぬるぬる乳首責め&乳内射精～","4->104439-0.jpg","4->104439-1.jpg","17->104439t1.mp3",""
